gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CFHR2	217857	853	-24	297900	76050	0	1	0	0	50	22	8371650	5.742820e-01	1
SPERT	813295	613	47	471450	139200	0	2	1	0	50	27	9414000	5.743941e-01	1
FEZF1	61242	1007	-15	502350	146550	0	2	0	0	50	25	9359550	5.745089e-01	1
TMEM66	387693	231	51	362700	105300	0	1	0	0	50	17	8059950	5.746839e-01	1
HIPK4	1006719	289	35	645450	192900	0	4	1	0	50	30	9244050	5.746874e-01	1
PFKM	484445	255	31	935700	259500	0	3	0	0	12	2	2134050	5.747094e-01	1
DCAF5	680338	289	33	996450	291000	0	2	0	0	16	4	3954150	5.747533e-01	1
CATSPER3	725156	226	27	441000	112050	0	1	0	0	50	18	10313550	5.747626e-01	1
MVP	NaN	NaN	NaN	939000	295800	0	2	1	0	50	41	17000400	5.749189e-01	1
MAP4K2	2261775	230	61	903600	261450	0	3	1	0	23	12	5660850	5.749308e-01	1
SSBP2	159943	864	23	410400	107100	0	1	0	0	50	22	11510700	5.749901e-01	1
PRMT7	819579	281	46	762150	204900	0	2	0	0	50	17	10129650	5.751177e-01	1
PDCL	433740	487	10	331800	81300	0	1	0	0	50	19	8139450	5.751368e-01	1
FAM91A1	483934	269	10	929550	245400	0	2	0	0	50	16	11735400	5.752062e-01	1
TMEM132B	492460	860	-17	1146600	325350	0	4	0	0	24	6	3064350	5.753492e-01	1
NOP56	792941	450	48	645900	178950	0	2	1	0	50	22	10723350	5.753563e-01	1
DLK1	383705	323	2	407850	117750	0	1	1	0	25	7	4283400	5.754424e-01	1
EYA2	306082	522	36	590550	164100	0	3	0	0	50	22	7361850	5.754460e-01	1
LRRC6	188389	902	-4	528600	122550	0	2	0	0	50	16	6669300	5.754699e-01	1
SGCA	1277832	210	26	410250	130650	0	1	0	0	50	19	10054050	5.754859e-01	1
CRHBP	245514	418	17	350850	96000	0	1	0	0	50	19	8598450	5.754869e-01	1
GLTSCR2	812020	262	36	508800	161250	0	4	1	0	6	3	1341000	5.755038e-01	1
CCNB1IP1	393743	401	-18	301500	79200	0	1	0	0	24	9	3869250	5.755530e-01	1
INCENP	2712305	253	52	988650	284400	0	3	1	0	50	24	11490450	5.758510e-01	1
MAP3K10	980250	400	23	978300	327150	0	2	0	0	50	23	10755000	5.760106e-01	1
SCARF1	1361271	198	27	900750	240000	0	2	0	0	50	18	8669400	5.760360e-01	1
ATG9A	773232	177	36	892650	266550	0	1	1	0	50	17	8411850	5.762223e-01	1
DACT1	303507	489	32	866250	269100	0	4	0	0	32	11	5631900	5.764325e-01	1
SLC9A9	209532	954	7	710100	189000	0	1	0	0	50	23	8441250	5.765840e-01	1
ST6GALNAC4	1278941	201	51	323250	94800	0	1	0	0	50	23	9400200	5.766852e-01	1
TBC1D8	333394	406	17	1243950	330600	0	3	0	0	50	16	9616950	5.767295e-01	1
RGAG4	582710	NaN	53	595950	173550	0	2	0	0	50	17	7889700	5.767761e-01	1
C17orf85	505430	215	30	684750	176100	0	3	0	0	50	14	7706850	5.768317e-01	1
PGLYRP4	1140044	401	32	402450	116850	0	2	0	0	50	24	7191000	5.768352e-01	1
KIR3DL2	987531	620	-23	488400	142500	0	1	1	0	50	45	10224750	5.768831e-01	1
SP7	1701810	166	58	440400	146400	0	1	0	0	50	15	8702100	5.769384e-01	1
TMX3	70753	920	-24	517800	123450	0	1	0	0	50	35	8706000	5.769848e-01	1
ELAVL1	967479	369	19	353250	97200	0	1	1	0	28	10	4925250	5.770497e-01	1
SHROOM1	718028	356	58	860250	303900	0	2	1	0	50	15	7376100	5.771720e-01	1
RLBP1	649712	400	25	348600	93300	0	1	0	0	50	23	10121700	5.772480e-01	1
TARSL2	255024	469	2	894750	222600	0	3	0	0	50	23	9971100	5.773242e-01	1
C10orf76	932053	319	42	781050	195450	0	3	0	0	50	24	9037350	5.775271e-01	1
LEF1	231204	771	22	477000	124650	0	1	0	0	50	14	8855700	5.775536e-01	1
LEPRE1	820426	426	30	802200	226500	0	2	0	0	50	15	9541200	5.775997e-01	1
DGKB	24487	1141	-13	909150	226650	0	2	0	0	46	35	10806750	5.777217e-01	1
EPHX4	260329	242	1	395250	105600	0	1	0	0	50	18	9161850	5.779921e-01	1
OR10Z1	179404	940	1	321300	102150	0	1	0	0	50	24	9681900	5.780157e-01	1
TMC6	527017	217	27	856350	265950	0	2	0	0	50	18	9031200	5.780496e-01	1
GSTA3	604568	455	8	248700	63150	0	1	0	0	50	29	8932200	5.781565e-01	1
PTCHD3	345745	581	2	808200	234000	0	2	0	0	50	22	8983950	5.781905e-01	1
CRK	1380844	220	18	322950	92400	0	1	0	0	50	22	8976600	5.782713e-01	1
MX2	241283	506	46	785850	204150	0	1	1	0	50	18	7643100	5.783895e-01	1
OR4P4	1295	1091	-20	332100	90000	0	1	0	0	50	19	8074200	5.783957e-01	1
FAM50B	271690	208	30	344850	97050	0	1	0	0	50	20	8781450	5.784777e-01	1
TP53TG5	1037999	382	35	317250	84600	0	1	0	0	50	18	7343250	5.785225e-01	1
NAT2	322678	627	-26	310200	84450	0	1	0	0	50	24	9329400	5.787179e-01	1
UPP2	115042	838	-4	410250	111300	0	1	0	0	50	15	8066100	5.787489e-01	1
GRXCR1	32225	966	18	311400	86850	0	1	0	0	50	22	8634750	5.791499e-01	1
ILVBL	703673	419	1	665850	215700	0	2	0	0	50	14	7452000	5.792004e-01	1
ACP5	1152381	272	31	340350	106050	0	1	0	0	50	19	8255850	5.792280e-01	1
OR2S2	853975	298	55	330000	103800	0	1	0	0	50	17	7240950	5.792957e-01	1
RASEF	119712	813	-45	812400	216750	0	1	0	0	13	3	1655700	5.793792e-01	1
PLEKHG3	608112	186	46	1229400	367200	0	3	1	0	50	13	8444400	5.793828e-01	1
SLA	NaN	NaN	NaN	346500	99000	0	1	0	0	50	40	16803600	5.793923e-01	1
KDSR	201946	278	77	362250	103500	0	1	0	0	50	20	9194550	5.796593e-01	1
KCND2	49438	962	7	665700	195150	0	2	1	0	14	7	3401700	5.797174e-01	1
QSOX1	440831	254	9	790350	245100	0	1	0	0	50	10	10932600	5.799249e-01	1
C15orf27	374349	405	22	571200	165000	0	1	0	0	15	2	2631000	5.801237e-01	1
SLCO6A1	132386	647	-12	780000	215400	0	2	1	0	50	27	10177800	5.801769e-01	1
LYG2	473611	633	32	235800	60750	0	1	1	0	28	13	4074300	5.802192e-01	1
ARIH1	1093921	432	37	630000	146700	0	3	0	0	40	23	6993000	5.802241e-01	1
HSPBAP1	424676	412	39	534600	138150	0	2	1	0	39	17	7016400	5.804397e-01	1
LSM14A	655485	284	-13	512700	143400	0	2	1	0	50	21	8074200	5.804435e-01	1
HSPA8	709511	307	8	693900	193950	0	2	0	0	18	15	5577150	5.805428e-01	1
AKAP7	165730	682	15	412500	96450	0	2	1	0	50	23	7035900	5.805520e-01	1
LSR	767246	472	7	685350	208800	0	1	1	0	50	19	6901800	5.806144e-01	1
TBP	425191	598	-16	368850	100950	0	1	1	0	50	15	7214700	5.806360e-01	1
PARP9	410045	404	35	948450	246750	0	2	0	0	50	17	8494800	5.806824e-01	1
VTCN1	322193	566	12	305850	86100	0	1	1	0	50	23	8791800	5.809056e-01	1
REXO2	98814	612	-12	266100	66000	0	1	0	0	50	33	10708200	5.809487e-01	1
PCDHGA12	NaN	NaN	NaN	970950	309750	0	4	0	0	50	40	17014350	5.809680e-01	1
GPR19	791330	136	44	438900	124500	0	1	0	0	21	6	4035000	5.810067e-01	1
ZNF365	157974	731	-3	757500	208650	0	3	0	0	43	20	7639350	5.810258e-01	1
INSC	161776	781	-17	621750	183750	0	4	0	0	50	28	9325350	5.810711e-01	1
SEMA3G	1078407	229	62	824100	259950	0	2	1	0	50	22	8804250	5.812146e-01	1
NEK9	919043	222	47	1061550	299250	0	1	1	0	50	20	10947150	5.813685e-01	1
GALNT8	283327	862	24	690750	189450	0	1	1	0	50	11	10307700	5.814670e-01	1
GPR6	209151	624	13	356850	134100	0	1	0	0	50	23	10241700	5.814720e-01	1
MBTD1	787991	267	-10	701400	174750	0	2	0	0	50	22	7791900	5.814858e-01	1
HLA-G	514408	685	38	363450	105000	0	1	0	0	50	17	7926300	5.815196e-01	1
C18orf25	413073	142	58	427650	124950	0	1	1	0	50	16	8833950	5.815838e-01	1
BHMT2	236664	526	38	398550	106350	0	1	0	0	50	15	7773450	5.816721e-01	1
BTBD3	59672	322	-61	561750	149700	0	1	0	0	50	29	7949250	5.817182e-01	1
GLCCI1	179344	405	24	572850	179550	0	1	0	0	50	11	8538300	5.818951e-01	1
TRMT2A	545126	218	57	662250	204450	0	1	0	0	50	27	8826900	5.819844e-01	1
C4orf27	173367	574	17	387600	94350	0	1	0	0	50	13	6663450	5.820475e-01	1
MGAT5	177903	761	17	819600	210000	0	2	1	0	50	22	8925750	5.820529e-01	1
SMARCA1	278446	NaN	-7	1172100	295350	0	1	1	0	17	6	3081300	5.822939e-01	1
ANKRD9	1673146	191	42	310800	121200	0	1	0	0	50	27	10324050	5.822994e-01	1
ADSSL1	681504	208	29	606600	180450	0	1	1	0	50	19	6108750	5.823706e-01	1
